RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
17491,Weapons Violations,202000023300,700,CHERRY AVE,CPD,2020/08/20 12:44:30+00,0844,"Nash, Darius"
17576,Shots Fired/Illegal Hunting,202000022424,700,"6TH ST SE, B",CPD,2020/08/12 06:57:19+00,0257,"Haug, Ian"
17719,Robbery - Armed,202000021220,1800,MONTICELLO RD,CPD,2020/07/31 02:38:50+00,2238,"Miller, Devin"
17721,Shots Fired/Illegal Hunting,202000021183,,MONTICELLO AVE / 6TH ST SE,CPD,2020/07/30 19:07:09+00,1507,"Pendleton, Eric"
17741,Shots Fired/Illegal Hunting,202000021005,,HARDY DR / 8TH ST NW,CPD,2020/07/29 01:41:08+00,2141,"Lucas, Corbin"
17750,Shots Fired/Illegal Hunting,202000020924,900,WEST ST,CPD,2020/07/28 06:44:18+00,0244,"Vlasis, Christopher"
17751,Weapons Violations,202000020892,200,E MAIN ST,CPD,2020/07/28 02:05:11+00,2205,"Smith, Daniel"
17778,Shots Fired/Illegal Hunting,202000020673,,ELLIOTT AVE / 6TH ST SE,CPD,2020/07/25 23:24:19+00,1924,"Turner, Devon"
17800,Shots Fired/Illegal Hunting,202000020526,700,DRUID AVE,CPD,2020/07/24 13:07:16+00,0907,"Houchens, Jamell"
17803,Shots Fired/Illegal Hunting,202000020514,,10TH ST NW / ANDERSON ST,CPD,2020/07/24 09:08:33+00,0508,"Wood, Joseph"
17805,Shots Fired/Illegal Hunting,202000020506,900,BELMONT AVE,CPD,2020/07/24 05:38:16+00,0138,"Miller, Devin"
17829,Shots Fired/Illegal Hunting,202000020287,700,RIDGE ST,CPD,2020/07/21 23:22:15+00,1922,"Groff, Hayden"
17883,Shots Fired/Illegal Hunting,202000019695,,7 1/2 ST SW,CPD,2020/07/16 03:44:52+00,2344,"Wood, Joseph"
17892,Shots Fired/Illegal Hunting,202000019626,300,VALLEY RD EXT,CPD,2020/07/15 13:57:36+00,0957,"Hall, Stephen"
17896,Shots Fired/Illegal Hunting,202000019575,,RIDGE ST / LANKFORD AVE,CPD,2020/07/15 02:46:51+00,2246,"Gower, Charles"
17907,Shots Fired/Illegal Hunting,202000019476,800,HARDY DR,CPD,2020/07/14 04:46:10+00,0046,"Byrd, Timothy"
17909,Shots Fired/Illegal Hunting,202000019463,900,1ST ST S,CPD,2020/07/14 02:05:05+00,2205,"Gower, Charles"
17913,Shots Fired/Illegal Hunting,202000019454,300,RIDGE ST,CPD,2020/07/14 01:09:05+00,2109,"Stein, Nathan"
17927,Shots Fired/Illegal Hunting,202000019351,900,"1ST ST S, D",CPD,2020/07/12 17:16:12+00,1316,"Tennyson, James"
17931,Shots Fired/Illegal Hunting,202000019304,1600,EMMET ST N,CPD,2020/07/12 03:49:01+00,2349,"Gower, Charles"
17933,Shots Fired/Illegal Hunting,202000019288,900,1ST ST S,CPD,2020/07/12 01:17:21+00,2117,"Bowers, Justin"
17940,Shots Fired/Illegal Hunting,202000019238,900,1ST ST S,CPD,2020/07/11 07:46:38+00,0346,"Boury, Bethany"
17960,Shots Fired/Illegal Hunting,202000019115,,ELLIOTT AVE / MONTICELLO AVE,CPD,2020/07/10 03:47:43+00,2347,"Blackwell, Ryan"
17973,Shots Fired/Illegal Hunting,202000019039,2200,ANGUS RD,CPD,2020/07/09 13:05:46+00,0905,"KEPLINGER, CHRISTOPHER"
17994,Weapons Violations,202080000065,,MILLMONT ST / BARRACKS RD,CPD,2020/07/08 11:20:00+00,0720,"Handy, Russell"
18019,Shots Fired/Illegal Hunting,202000018754,600,7 1/2 ST SW,CPD,2020/07/06 18:24:31+00,1424,"Davis, Charles"
18020,Shots Fired/Illegal Hunting,202000018744,700,PROSPECT AVE,CPD,2020/07/06 16:19:32+00,1219,"Davis, Charles"
18057,Shots Fired/Illegal Hunting,202000018439,1400,"MONTICELLO RD, 24",CPD,2020/07/03 20:59:35+00,1659,"Lowry, Ryan"
18128,Shots Fired/Illegal Hunting,202000017871,,AVON ST / BOLLING AVE,CPD,2020/06/28 13:01:18+00,0901,"Samar, Jack"
18137,Robbery - Armed,202000017741,2000,IVY RD,CPD,2020/06/27 08:33:38+00,0433,"Belinski, Thomas"
18164,Shots Fired/Illegal Hunting,202000017508,1200,ROSSER AVE,CPD,2020/06/25 11:41:41+00,0741,"Belinski, Thomas"
18209,Shots Fired/Illegal Hunting,202000017035,600,PROSPECT AVE,CPD,2020/06/21 06:40:46+00,0240,"Joiner, Chaka"
18221,Shots Fired/Illegal Hunting,202000016884,,W MAIN ST / 11TH ST SW,CPD,2020/06/20 04:26:06+00,0026,"Blackwell, Kyle"
18357,Shots Fired/Illegal Hunting,202000015297,800,HARDY DR,CPD,2020/06/05 17:24:56+00,1324,"Burnett, James"
18365,Shots Fired/Illegal Hunting,202000015222,400,E HIGH ST,CPD,2020/06/05 05:04:12+00,0104,"Wagner, Christopher "
18390,Shots Fired/Illegal Hunting,202000014960,500,W MAIN ST,CPD,2020/06/02 14:45:28+00,1045,"Pittman, Terry"
18392,Shots Fired/Illegal Hunting,202000014953,600,BELMONT AVE,CPD,2020/06/02 10:06:04+00,0606,"Tennyson, James"
18393,Shots Fired/Illegal Hunting,202000014933,,1ST ST S / LANKFORD AVE,CPD,2020/06/02 05:15:52+00,0115,"Blackwell, Ryan"
18394,Shots Fired/Illegal Hunting,202000014928,,ELLIOTT AVE / 1ST ST S,CPD,2020/06/02 04:23:57+00,0023,"Blackwell, Ryan"
18401,Shots Fired/Illegal Hunting,202000014843,,PRESTON AVE @ HARRIS ST,CPD,2020/06/01 08:46:45+00,0446,"Freivald, Jon"
18469,Shots Fired/Illegal Hunting,202000014178,,JEFFERSON PARK AVE / BRANDON AVE,CPD,2020/05/26 06:35:22+00,0235,"Boury, Bethany"
18538,Shots Fired/Illegal Hunting,202000013442,1500,RUGBY RD,CPD,2020/05/19 05:20:25+00,0120,"Byrd, Timothy"
18540,Shots Fired/Illegal Hunting,202000013439,1100,FOREST ST,CPD,2020/05/19 04:51:32+00,0051,"Byrd, Timothy"
18551,Weapons Violations,202000013358,,GRADY AVE @ 10TH ST,CPD,2020/05/18 13:43:51+00,0943,"Thomas, Eric"
18571,Shots Fired/Illegal Hunting,202000013107,800,HENRY AVE,CPD,2020/05/16 01:42:56+00,2142,"Fink, James"
18590,Shots Fired/Illegal Hunting,202000012905,1000,PRESTON AVE,CPD,2020/05/14 05:58:46+00,0158,"Woodzell, Logan"
18603,Weapons Violations,202000012749,500,12TH ST NW,CPD,2020/05/12 21:31:59+00,1731,"Maney, Edward"
18616,Weapons Violations,202000012611,1700,HYDRAULIC RD,CPD,2020/05/11 16:19:10+00,1219,"Nash, Darius"
18617,Weapons Violations,202000012600,2000,HOLIDAY DR,CPD,2020/05/11 13:58:51+00,0958,"TRAVERS, JOSHUA"
18636,Weapons Violations,202000012440,900,HART RD,CPD,2020/05/09 21:01:11+00,1701,"Fink, James"
18651,Robbery - Armed,202000012257,,NORTH BERKSHIRE RD / CEDAR HILL RD,CPD,2020/05/08 06:52:16+00,0252,"Arreguin, Arron"
18713,Shots Fired/Illegal Hunting,202000011472,900,1ST ST S,CPD,2020/05/02 01:22:16+00,2122,"Hounsel, Eli"
18829,Shots Fired/Illegal Hunting,202000010381,400,GARRETT ST,CPD,2020/04/20 01:44:25+00,2144,"Lee, Chandler"
18886,Shots Fired/Illegal Hunting,202000009742,,1ST ST S / GARRETT ST,CPD,2020/04/12 03:51:44+00,2351,"Harris, Frank"
18895,Shots Fired/Illegal Hunting,202000009649,,LONGWOOD DR / HARRIS RD,CPD,2020/04/11 06:24:43+00,0224,"Harris, Frank"
18901,Robbery - Armed,202000009576,1400,SUNRISE PARK LN,CPD,2020/04/10 07:19:40+00,0319,"Arreguin, Arron"
18913,Shots Fired/Illegal Hunting,202000009448,,GARRETT ST / 6TH ST SE,CPD,2020/04/09 01:13:17+00,2113,"Lee, Chandler"
18922,Shots Fired/Illegal Hunting,202000009320,800,"HARDY DR, A",CPD,2020/04/08 01:43:58+00,2143,"Babij, Joshua"
18983,Shots Fired/Illegal Hunting,202000008907,1200,EMMET ST N,CPD,2020/04/03 03:26:40+00,2326,"Adams, Jonathan"
18991,Shots Fired/Illegal Hunting,202000008820,800,HARDY DR,CPD,2020/04/01 15:56:27+00,1156,"Pittman, Terry"
18994,Shots Fired/Illegal Hunting,202000008792,400,GARRETT ST,CPD,2020/04/01 01:01:58+00,2101,"Bowers, Justin"
19017,Shots Fired/Illegal Hunting,202000008572,,HARDY DR / 8TH ST NW,CPD,2020/03/29 04:02:08+00,0002,"Hickey, Declan"
19027,Shots Fired/Illegal Hunting,202000008486,400,GARRETT ST,CPD,2020/03/28 09:18:00+00,0518,"Byrd, Timothy"
19110,Shots Fired/Illegal Hunting,202000007797,,14TH ST NW / VIRGINIA AVE,CPD,2020/03/19 17:44:44+00,1344,"TRAVERS, JOSHUA"
19179,Weapons Violations,202000007226,400,GARRETT ST,CPD,2020/03/13 03:13:23+00,2313,"Bowers, Justin"
19205,Weapons Violations,202000006972,900,"RIVES ST, B",CPD,2020/03/10 14:06:27+00,1006,"McKeown, Kaitlyn"
19306,Shots Fired/Illegal Hunting,202000006234,,PAOLI ST / 9TH ST NW,CPD,2020/03/03 12:20:10+00,0720,"Samar, Jack"
19308,Shots Fired/Illegal Hunting,202000006220,900,1ST ST S,CPD,2020/03/03 07:15:23+00,0215,"Harris, Frank"
19508,Shots Fired/Illegal Hunting,202000004541,800,"CABELL AVE, A",CPD,2020/02/16 01:52:10+00,2052,"Raines, Christopher"
19570,Shots Fired/Illegal Hunting,202000004147,1000,PAGE ST,CPD,2020/02/12 04:30:23+00,2330,"Blackwell, Kyle"
19815,Shots Fired/Illegal Hunting,202000002415,900,1ST ST S,CPD,2020/01/25 07:07:18+00,0207,"Harris, Frank"
19883,Shots Fired/Illegal Hunting,202000001749,,6TH ST SE / BLENHEIM AVE,CPD,2020/01/18 06:34:40+00,0134,"Blackwell, Ryan"
19934,Robbery - Armed,202000001337,2100,BARRACKS RD,CPD,2020/01/14 17:59:48+00,1259,"Lewis, Joey"
19953,Shots Fired/Illegal Hunting,202000001187,500,MCINTIRE RD,CPD,2020/01/13 03:59:52+00,2259,"Gower, Charles"
19977,Weapons Violations,202000001002,2200,NORTH BERKSHIRE RD,CPD,2020/01/11 07:14:12+00,0214,"Adams, Jonathan"
20000,Weapons Violations,202000000895,1100,RUGBY RD,CPD,2020/01/10 08:21:17+00,0321,"Adams, Jonathan"
20013,Shots Fired/Illegal Hunting,202000000801,700,PROSPECT AVE,CPD,2020/01/09 08:14:05+00,0314,"Byrd, Timothy"
20028,Shots Fired/Illegal Hunting,202000000619,500,ROCKLAND AVE,CPD,2020/01/07 07:23:34+00,0223,"Lucas, Corbin"
20120,Shots Fired/Illegal Hunting,202000000010,,PROSPECT AVE / ROCK CREEK RD,CPD,2020/01/01 05:58:25+00,0058,"Stein, Nathan"
20146,Shots Fired/Illegal Hunting,201900037850,,PROSPECT AVE / BAILEY RD,CPD,2019/12/31 00:29:41+00,1929,"Holley, Barrett"
20219,Shots Fired/Illegal Hunting,201900037381,900,1ST ST S,CPD,2019/12/25 03:09:38+00,2209,"Boury, Bethany"
20350,Shots Fired/Illegal Hunting,201900036446,1400,VINE ST,CPD,2019/12/15 00:03:06+00,1903,"Bowers, Justin"
